,output,gt,input
Distance_(_),Gray_Value,,
0,1774.5,1350.75,803
1,1777.278,1350.404,805.003
2,1787.577,1350.8,813.839
3,1805.191,1375.926,828.812
4,1852.935,1424.964,859.133
5,1972.358,1518.256,924.1
6,2092.111,1638.519,997.528
7,2236.386,1801.902,1123.148
8,2464.229,2118.54,1380.315
9,2798.438,2601.5,1800.375
10,3205.568,3185.181,2281.701
11,3407.796,3447.242,2494.561
12,3134.944,3083.926,2206.944
13,2693.448,2404.148,1660.312
14,2328.673,1808.453,1205.824
15,2189.903,1569.611,1009.139
16,2350.636,1617.283,1006.049
17,2586.294,1688.651,1020.764
18,2817,1743.167,1020
19,2983.62,1818.128,1039.612
20,2924.164,1748.915,1007.201
21,2788.312,1671.083,981.059
22,2600.698,1607.214,954.364
23,2496.31,1606.592,941.149
24,2527.333,1709.065,981.611
25,2634.295,1855.007,1038.851
26,2736.151,2007.739,1095.04
27,2731.5,2078.917,1120.094
28,2597.75,2033.706,1096.136
29,2346.34,1893,1031.326
30,2097.278,1725.389,963.111
31,1897.206,1550.803,894.424
32,1715.142,1363.907,813.457
33,1609.003,1259.963,769.003
34,1558.472,1219.257,750.923
35,1527.36,1201.007,745.524
36,1488.25,1172.25,731.25
