,Output,GT,Input
Distance_(_),Gray_Value,,
0,429.375,834.667,413.625
1,468.158,921.254,462.31
2,515.544,1024.391,519.904
3,564.23,1129.805,581.516
4,589.971,1196.976,618.544
5,608.808,1241.229,637.094
6,603.75,1225.302,617.971
7,542.514,1107.52,530.465
8,542.978,1116.063,511.074
9,545.458,1116.404,481.655
10,583.515,1198.901,484.551
11,637.742,1312.001,507.052
12,667.059,1379.51,517.147
13,667.87,1395.622,519.556
14,633.412,1327.087,504.926
15,573.939,1207.742,475.841
16,523.279,1095.049,454.963
17,490.094,1021.611,443.531
18,480.037,1000.458,446.551
19,493.517,1030.844,470.462
20,524.206,1089.078,510.5
21,583.355,1206.814,588.559
22,665.706,1384.462,694.103
23,697.517,1448.246,734.751
24,703.419,1469.407,738.206
25,697.346,1441.499,711.404
26,686.647,1403.672,674.338
27,658.177,1350.619,616.983
28,659.059,1364.229,579.294
29,689.791,1461.976,567.754
30,733.059,1573.525,567.191
31,767.916,1636.02,572.187
32,754.581,1598.083,560.118
33,674.495,1422.438,513.55
34,569.5,1180.833,456
